old,name,new
1,NoVeg,4
2,NoVeg_Bare,4
3,NoVeg_Built,4
7,NoVeg_Water,4
9,Mixed-path,4
10,Cleared,4
11,TreePlant-new,3
12,Grassland-Natural,2
13,Grassland-Managed,2
15,Grassland,2
17,Grassland-Wet,2
18,Mixed-GrassEdge,2
19,Mixed-FieldEdge,4
20,LowVeg,4
23,Crops-horticulture,1
30,Crop-Low,1
31,Crops-Soybeans,1
32,Crops-Beans,1
33,Crops-Corn,1
34,Crops-Mandioca,1
35,Crops-mix,1
36,Crops-Peanuts,1
37,Crops-Rice,1
38,Crops-Sugar,1
40,Crop_Med,1
41,Crops-Vineyard,1
42,Crops-Yerba-Mate,1
43,Crops-Banana,1
45,Crops-Orchard-new,1
46,Crops-Orchard,1
51,Grass_tree-mix,3
52,Shrub,4
56,TreePlant-young,3
58,Burnt-woody,4
60,TreePlant,3
65,Trees-Open,3
66,TreePlant-mature,3
67,Trees-Forest_decid,3
68,Trees-Forest_palm,3
80,Trees-Forest,3
99,unknown,4
